SiteID,meanRatio,sdRatio,cvRatio
S01,0.027205960321793465,0.011271698055265721,41.43098762897362
S02,0.03318683277937062,0.012345941924504398,37.2013262204967
S03,0.024777360284727736,0.016729769920161886,67.52038848332757
S04,0.06147728269492954,0.0033969194322520614,5.525487274882806
S05,0.11139314310295263,0.09400959252576149,84.39441594611907
S06,0.027199674716713147,0.009551754680984167,35.11716511490111
S07,0.03238495520154407,0.014688439248698879,45.35574978346289
S08,0.007485234620425224,0.0038254494340554824,51.106606914055085
S09,0.010109264885379316,0.0041454407826552585,41.00635238721134
S10,NA,NA,NA
S11,0.15601579793548367,0.02701067920792866,17.312784708570497
S12,NA,NA,NA
S13,NA,NA,NA
S14,0.03307934524674055,0.017384841249619448,52.554973866456606
S15,0.033523449699147646,0.005367798022455216,16.012069374207915
S16,0.07480864608965426,0.09752840004328696,130.37049210381946
S17,NA,NA,NA
S18,0.001747282218907558,1.7777983254514942e-4,10.174648984655812
